trial_number,neutral,happy,sad,angry,fearful,disgusted,surprised,Average Happy,Face detected,No face detected,Fish clicked correctly,Fish clicked incorrectly,starfish_image
1,0.39,0.6,0.0,0.0,0.0,0.0,0.0,0.76,26,8,1,6,image2.png
2,0.61,0.39,0.0,0.0,0.0,0.0,0.0,nan,46,1,0,10,image4.png
